STATEFP,STATENAME
01,ALABAMA
02,ALASKA
03,AMERICAN SAMOA
04,ARIZONA
05,ARKANSAS
06,CALIFORNIA
07,CANAL ZONE
08,COLORADO
09,CONNECTICUT
10,DELAWARE
11,DISTRICT OF COLUMBIA
12,FLORIDA
13,GEORGIA
14,GUAM
15,HAWAII
16,IDAHO
17,ILLINOIS
18,INDIANA
19,IOWA
20,KANSAS
21,KENTUCKY
22,LOUISIANA
23,MAINE
24,MARYLAND
25,MASSACHUSETTS
26,MICHIGAN
27,MINNESOTA
28,MISSISSIPPI
29,MISSOURI
30,MONTANA
31,NEBRASKA
32,NEVADA
33,NEW HAMPSHIRE
34,NEW JERSEY
35,NEW MEXICO
36,NEW YORK
37,NORTH CAROLINA
38,NORTH DAKOTA
39,OHIO
40,OKLAHOMA
41,OREGON
42,PENNSYLVANIA
43,PUERTO RICO
44,RHODE ISLAND
45,SOUTH CAROLINA
46,SOUTH DAKOTA
47,TENNESSEE
48,TEXAS
49,UTAH
50,VERMONT
51,VIRGINIA
52,VIRGIN ISLANDS
53,WASHINGTON
54,WEST VIRGINIA
55,WISCONSIN
56,WYOMING
60,AMERICAN SAMOA
64,FEDERATED STATES OF MICRONESIA
66,GUAM
67,JOHNSTON ATOLL
68,MARSHALL ISLANDS
69,NORTHERN MARIANA ISLANDS
70,PALAU
71,MIDWAY ISLANDS
72,PUERTO RICO
74,U.S. MINOR OUTLYING ISLANDS
76,NAVASSA ISLAND
78,VIRGIN ISLANDS
79,WAKE ISLAND
81,BAKER ISLAND
84,HOWLAND ISLAND
86,JARVIS ISLAND
89,KINGMAN REEF
95,PALMYRA ATOLL